area_type,availability,location,size,bath,balcony,price
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1,1,25
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,4,2,252
Super built-up  Area,18-?.?.,Battarahalli,2 BHK,2,2,38.37
Plot  Area,Ready To Move,R.T. Nagar,2 Bedroom,2,0,230
Built-up  Area,Ready To Move,Electronic City,3 BHK,3,1,55
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4,2,157
Plot  Area,Ready To Move,Kadubeesanahalli,4 Bedroom,4,,375
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,2,42.15
Super built-up  Area,19-?.?.,Hormavu,2 BHK,2,1,47.36
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,85
Super built-up  Area,Ready To Move,Dommasandra,2 BHK,2,2,32.9
Super built-up  Area,Ready To Move,Vittasandra,3 BHK,3,2,85.5
Super built-up  Area,Ready To Move,Lavakusha Nagar,3 BHK,3,1,72
Super built-up  Area,18-??.?.,Marathahalli,4 BHK,5,2,180
Super built-up  Area,21-?.?.,Kanakpura Road,3 BHK,3,2,69
Plot  Area,Ready To Move,1st Block HRBR Layout,3 Bedroom,3,2,125
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,2,150
Super built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,1,1,8
Super built-up  Area,18-??.?.,Ananth Nagar,1 BHK,1,1,14
Super built-up  Area,Ready To Move,Nallurhalli,2 BHK,2,2,68
Super built-up  Area,Ready To Move,Kudlu Gate,2 BHK,2,1,44.96
Plot  Area,Ready To Move,Yelahanka New Town,2 Bedroom,2,0,180
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,1,51
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2,,92
Super built-up  Area,Ready To Move,Munnekollal,3 BHK,3,3,65
Super built-up  Area,18-?.?.,1st Phase JP Nagar,3 BHK,3,3,175
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,3,2,211
Built-up  Area,Ready To Move,Balepet,6 BHK,5,0,89
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,2,1,31.15
Super built-up  Area,Ready To Move,Basavangudi,2 BHK,2,3,120
Built-up  Area,Ready To Move,Hosakerehalli,2 BHK,2,1,46.25
Built-up  Area,18-??.?.,Bannerghatta Road,3 Bedroom,3,1,148
Carpet  Area,20-?.?.,Kanakpura Road,1 BHK,1,0,33.66
Built-up  Area,Ready To Move,Annasandrapalya,4 Bedroom,4,0,150
Plot  Area,Ready To Move,Bileshivale,4 Bedroom,4,,250
Plot  Area,Ready To Move,9th Block Jayanagar,4 Bedroom,5,2,200
Built-up  Area,Ready To Move,Amruthahalli,3 BHK,2,1,90
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,1,65
Super built-up  Area,Ready To Move,Kadubeesanahalli,2 BHK,2,3,55
Built-up  Area,Ready To Move,9th Phase JP Nagar,4 Bedroom,4,2,80
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,1,70
Super built-up  Area,20-??.?.,Shettigere,1 BHK,1,1,35
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,4,2,121
Plot  Area,Ready To Move,Jalahalli,2 Bedroom,2,0,130
Built-up  Area,Ready To Move,Sarjapur  Road,4 Bedroom,,,222
Super built-up  Area,Ready To Move,1st Phase JP Nagar,4 BHK,2,1,240
Super built-up  Area,18-?.?.,Bhoganhalli,2 BHK,2,1,68.32
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,2,46
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2,2,73
Super built-up  Area,18-?.?.,6th Phase JP Nagar,3 BHK,3,3,48.9
Super built-up  Area,19-?.?.,Whitefield,1 BHK,1,1,29
Built-up  Area,Ready To Move,HSR Layout,5 Bedroom,5,,245
Super built-up  Area,Ready To Move,Thubarahalli,3 BHK,3,,90
Super built-up  Area,19-?.?.,Sarjapur  Road,2 BHK,2,1,45.91
Super built-up  Area,20-?.?.,Rachenahalli,2 BHK,2,1,50.17
Built-up  Area,18-??.?.,Whitefield,4 BHK,4,3,161
Super built-up  Area,Ready To Move,Byrasandra,2 BHK,2,3,60
Built-up  Area,Ready To Move,5th Block Hbr Layout,5 Bedroom,5,3,130
Super built-up  Area,Ready To Move,Begur Road,3 BHK,2,3,44.42
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2,2,86
Super built-up  Area,19-?.?.,Devanahalli,2 BHK,2,0,62.425
Plot  Area,Ready To Move,Electronic City,4 Bedroom,3,2,700
Super built-up  Area,18-??.?.,Dasarahalli,2 BHK,2,1,86.65
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,85.5
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,3 BHK,2,2,87
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,85
Built-up  Area,18-?.?.,Electronic City Phase II,2 BHK,2,1,32.92
Built-up  Area,Ready To Move, Electronic City,1 RK,1,1,27
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,2,3,83
Super built-up  Area,Ready To Move,Belathur,2 BHK,2,1,39
Super built-up  Area,Ready To Move,Whitefield,4 BHK,3,2,149
Built-up  Area,18-?.?.,Whitefield,4 Bedroom,4,0,100
Super built-up  Area,Ready To Move,Pampa Extension,2 BHK,2,1,80
Super built-up  Area,Ready To Move, Devarachikkanahalli,2 BHK,2,2,40
Super built-up  Area,Ready To Move,Gottigere,3 BHK,2,3,90
Super built-up  Area,Ready To Move,Subramanyapura,3 BHK,3,3,130
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,2,1,31.99
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,2,1,53
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,50
Super built-up  Area,21-?.?.,Bannerghatta Road,2 BHK,2,1,61
Super built-up  Area,Ready To Move,Whitefield,4 BHK,2,3,188
Plot  Area,Ready To Move,RMC YARD,7 Bedroom,3,0,162
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,160
Super built-up  Area,Ready To Move,Attur Layout,7 BHK,8,1,150
Built-up  Area,Ready To Move,Marathahalli,4 Bedroom,4,,350
Built-up  Area,Ready To Move,Varsova Layout,4 Bedroom,4,3,295
Super built-up  Area,Ready To Move,Hanumanth Nagar,2 BHK,2,2,52.86
Super built-up  Area,20-?.?.,Hebbal,4 BHK,5,3,364
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,2,45
Plot  Area,Ready To Move,Banashankari Stage VI,8 Bedroom,7,1,175
Super built-up  Area,Ready To Move,Banashankari,2 BHK,2,2,50.75
Super built-up  Area,Ready To Move,6th Phase JP Nagar,3 BHK,3,3,131
Super built-up  Area,Ready To Move,Gunjur Palya,3 BHK,2,3,71
Built-up  Area,Ready To Move,Sector 7 HSR Layout,3 BHK,2,3,195
Built-up  Area,Ready To Move,Kalyan nagar,2 BHK,2,1,70
Super built-up  Area,Ready To Move,Electronic City Phase II,1 BHK,1,1,35
Super built-up  Area,20-?.?.,Old Madras Road,3 BHK,3,2,47.25
Super built-up  Area,18-?.?.,Kaikondrahalli,2 BHK,2,1,27
Super built-up  Area,Ready To Move,Billekahalli,2 BHK,2,3,110
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1,1,36.85
Super built-up  Area,18-?.?.,Whitefield,3 BHK,3,2,110
Plot  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,2,2,95
Built-up  Area,19-??.?.,"Panathur Road, ",1 BHK,1,0,53
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,2,2,92
Super built-up  Area,Ready To Move,Gkvk Layout,2 BHK,2,1,54
Super built-up  Area,Ready To Move,Hormavu,2 BHK,2,1,39.08
Super built-up  Area,Ready To Move,Budigere,2 BHK,2,2,60
Super built-up  Area,Ready To Move,Kengeri,2 BHK,2,1,51.5
Built-up  Area,Ready To Move,KR Puram,5 BHK,3,1,255
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,1,46
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,2,1,80
Super built-up  Area,18-??.?.,Old Madras Road,4 BHK,6,0,212.5
Super built-up  Area,Ready To Move,8th Phase JP Nagar,2 BHK,2,1,95
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,1,31
Built-up  Area,Ready To Move,Brookefield,2 BHK,2,2,72
Plot  Area,Ready To Move,Benson Town,4 Bedroom,5,3,950
Plot  Area,Ready To Move,Vivek Nagar,2 Bedroom,2,1,160
Plot  Area,Ready To Move,Malleshwaram,2 Bedroom,1,0,90
Built-up  Area,Ready To Move,Nagappa Reddy Layout,3 BHK,3,2,60
Super built-up  Area,21-?.?.,Kanakpura Road,3 BHK,3,1,69
Super built-up  Area,18-?.?.,Channasandra,2 BHK,2,1,36.28
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,2,1,69.18
Super built-up  Area,Ready To Move,Sarakki Nagar,4 BHK,5,3,345
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,2,2,55
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,2,0,75
Plot  Area,Immediate Possession,Rajankunte,,,,31.11
Super built-up  Area,18-??.?.,Electronic City,2 BHK,2,2,33.84
Super built-up  Area,Ready To Move,Hormavu,3 BHK,2,2,60
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,2,1,55
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,2,2,45
Super built-up  Area,Ready To Move,KR Puram,4 BHK,4,2,235
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,55
Plot  Area,Ready To Move,Bendiganahalli,5 Bedroom,5,1,150
Plot  Area,Ready To Move,Domlur Layout,4 Bedroom,4,2,595
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,2,1,37
Built-up  Area,Ready To Move,Kammasandra,2 BHK,2,2,60
Plot  Area,Ready To Move,Mylasandra,1 Bedroom,2,0,80
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,1,37
Built-up  Area,Ready To Move,Hennur Road,4 Bedroom,4,0,90
Super built-up  Area,19-?.?.,Whitefield,1 BHK,1,1,57
Plot  Area,Ready To Move,Banashankari Stage III,9 Bedroom,9,,200
Super built-up  Area,18-?.?.,Thanisandra,3 BHK,3,1,112
Plot  Area,Ready To Move,Parappana Agrahara,1 Bedroom,1,0,45
Super built-up  Area,Ready To Move,Bhoganhalli,2 BHK,2,1,69.9
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,2,1,49
Super built-up  Area,Ready To Move,Kachanayakanahalli,2 BHK,2,0,34
Super built-up  Area,Ready To Move,Horamavu Banaswadi,2 BHK,2,2,54
Super built-up  Area,Ready To Move,Chamrajpet,2 BHK,1,1,40
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,1,54.79
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,2,106
Built-up  Area,Ready To Move,Jalahalli,2 BHK,2,0,70
Plot  Area,Ready To Move,TC Palaya,1 Bedroom,1,0,55
Plot  Area,Ready To Move,7th Phase JP Nagar,4 Bedroom,4,2,350
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,2,110
Super built-up  Area,21-?.?.,Kanakpura Road,2 BHK,2,1,34
Super built-up  Area,Ready To Move,Shanthi Pura,2 BHK,2,1,32
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,4,3,340
Super built-up  Area,Ready To Move,Sonnenahalli,3 BHK,2,1,65
Super built-up  Area,19-?.?.,7th Phase JP Nagar,3 BHK,3,1,145
Super built-up  Area,Ready To Move,Kambipura,2 BHK,2,1,37.01
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,1,1,38
Super built-up  Area,Ready To Move,Sarjapur,3 BHK,3,1,50
Super built-up  Area,19-?.?.,Battarahalli,3 BHK,3,2,104
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,2,2,46
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,1,66
Plot  Area,Ready To Move,NRI Layout,4 Bedroom,5,1,95.5
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,1,57
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,1,36
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,2,2,73.2
Super built-up  Area,Ready To Move,Basaveshwara Nagar Yelahanka,2 BHK,2,1,43
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,2,125
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,2,62
Super built-up  Area,20-??.?.,Viviani Road,3 BHK,3,2,350
Super built-up  Area,18-??.?.,Devanahalli,1 BHK,1,1,26.91
Carpet  Area,18-?.?.,Bhoganhalli,2 BHK,2,1,78.74
Plot  Area,Ready To Move,Giri Nagar,4 Bedroom,3,2,750
Built-up  Area,Ready To Move,KR Puram,2 BHK,2,2,40
Plot  Area,Ready To Move,Whitefield,4 Bedroom,5,2,225
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,3,3,160
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,2,44
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,1,1,20
Built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,2,1,198
Built-up  Area,Ready To Move,Sampangirama Nagar,5 Bedroom,5,,140
Super built-up  Area,Ready To Move,Gunjur Palya,2 BHK,2,2,42
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2,1,45
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,0,55
Plot  Area,18-?.?.,Electronic City,9 Bedroom,13,,150
Built-up  Area,Ready To Move,Sompura,2 BHK,2,1,32
Super built-up  Area,Ready To Move,Bellandur,4 BHK,4,2,359
Plot  Area,Ready To Move,Hosahalli Extension,6 Bedroom,4,1,203
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,3,3,92
Super built-up  Area,Ready To Move,Shankarapuram,2 BHK,2,1,100
Super built-up  Area,21-??.?.,Kanakpura Road,2 BHK,2,1,63
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,1,41
Super built-up  Area,18-?.?.,Byatarayanapura,1 BHK,1,1,50
Built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,1,1,27
Plot  Area,Ready To Move,Doctor Layout Rayasandra,2 Bedroom,3,1,90
Super built-up  Area,18-??.?.,Anwar Layout,1 BHK,1,0,32.39
Plot  Area,Ready To Move,Whitefield,3 Bedroom,4,2,600
Super built-up  Area,Ready To Move,Yelahanka New Town,2 BHK,2,1,58
Super built-up  Area,Ready To Move,Pillanna Gardens,2 BHK,1,1,20
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,2,1,58
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,1,160
Super built-up  Area,Ready To Move,Ulsoor,3 BHK,4,2,185
Super built-up  Area,Ready To Move,Ullal Uppanagar,6 BHK,5,2,75
Super built-up  Area,18-??.?.,Banashankari,3 BHK,3,3,108
Super built-up  Area,Ready To Move,Prithvi Layout,3 BHK,3,3,125
Super built-up  Area,Ready To Move,Pai Layout,2 BHK,2,3,42
Plot  Area,Ready To Move,Banashankari Stage VI,4 Bedroom,5,1,105
Plot  Area,Ready To Move,Ramamurthy Nagar,4 Bedroom,5,1,230
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,2,1,65
Super built-up  Area,Ready To Move,Kodihalli,3 BHK,3,,81
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,1,37.49
Super built-up  Area,Ready To Move,Bannerghatta,2 BHK,2,1,87
Super built-up  Area,18-?.?.,Kannamangala,3 BHK,3,1,107
Built-up  Area,Ready To Move,Koramangala,3 BHK,3,2,210
Carpet  Area,Ready To Move,JP Nagar,3 BHK,3,3,196
Super built-up  Area,18-??.?.,Sarjapur  Road,3 BHK,,,102.92
Super built-up  Area,18-??.?.,Electronic City,2 BHK,2,1,72
Super built-up  Area,Ready To Move,Chandra Layout,3 BHK,3,2,130
Super built-up  Area,19-?.?.,Kanakapura,1 BHK,1,1,50
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,2,99
Super built-up  Area,Ready To Move,Bhoganhalli,4 BHK,4,3,170
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,3,2,78
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3,2,150
Built-up  Area,Ready To Move,Bommanahalli,2 BHK,2,1,40
Super built-up  Area,18-??.?.,Sarjapur  Road,2 BHK,2,1,74.03
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,3,2,224
Built-up  Area,Ready To Move,Brookefield,4 Bedroom,4,3,176
Super built-up  Area,18-??.?.,JP Nagar,2 BHK,2,2,33.95
Built-up  Area,18-?.?.,Whitefield,2 BHK,2,1,57
Super built-up  Area,Ready To Move,Hebbal,2 BHK,2,1,97
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,3,2,85
Built-up  Area,Ready To Move,Basaveshwara Nagar,2 BHK,2,2,85
Built-up  Area,Ready To Move,Yelahanka,4 Bedroom,5,0,110
Super built-up  Area,Ready To Move,Hulimavu,1 BHK,1,1,29
Super built-up  Area,Ready To Move, Devarabeesana Halli,2 BHK,2,2,70
Super built-up  Area,Ready To Move,Doctors Layout,2 BHK,2,1,55
Built-up  Area,Ready To Move,Electronic City,3 BHK,3,1,70
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,2,55
Plot  Area,Ready To Move,Sarjapur  Road,5 Bedroom,4,2,975
Super built-up  Area,Ready To Move,Old Madras Road,2 BHK,2,2,74
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,2,60
Super built-up  Area,Ready To Move,Whitefield,1 BHK,1,1,39
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,2 BHK,2,1,51
Plot  Area,Ready To Move,Banaswadi,5 Bedroom,5,,240
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1,1,38
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,5,2,330
Super built-up  Area,18-?.?.,Chikkalasandra,3 BHK,3,2,54.2
Built-up  Area,Ready To Move,Abbigere,8 Bedroom,8,0,150
Built-up  Area,Ready To Move,Harlur,4 BHK,4,1,175
Built-up  Area,Ready To Move,Hebbal,4 Bedroom,4,2,450
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,3,51.91
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,3,2,115
Plot  Area,18-??.?.,AECS LAYOUT A-BLOCK Singasandra,5 Bedroom,5,1,225
Super built-up  Area,Ready To Move,Sultan Palaya,2 BHK,2,2,49
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,4,,410
Super built-up  Area,18-??.?.,Tumkur Road,3 BHK,2,1,83
Super built-up  Area,19-?.?.,JP Nagar,2 BHK,2,1,91.65
Super built-up  Area,Ready To Move,Ambalipura,2 BHK,2,2,76
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2,2,76.18
Built-up  Area,Ready To Move,Banashankari Stage I,5 Bedroom,4,3,170
Built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,34.65
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,3,45
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,4,2,151
Built-up  Area,Ready To Move,Ramanjaneyanagar,4 Bedroom,3,1,225
Super built-up  Area,Ready To Move,Jalahalli,1 BHK,1,1,46
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,1,45
Super built-up  Area,18-?.?.,Whitefield,3 BHK,3,2,107
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,2,130
Super built-up  Area,Ready To Move,Byatarayanapura,2 BHK,2,2,63
Super built-up  Area,Ready To Move,Horamavu Agara,1 BHK,1,1,27
Super built-up  Area,18-?.?.,Thanisandra,1 BHK,1,1,61
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,3,3,180
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,3,0,125
Super built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,39.77
Built-up  Area,Ready To Move,Horamavu Agara,2 BHK,2,1,38
Plot  Area,Ready To Move,Munnekollal,7 Bedroom,5,3,185
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,2,3,36
Plot  Area,Ready To Move,Hormavu,2 Bedroom,2,0,73
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,39.9
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,2,56
Carpet  Area,Ready To Move,2nd Stage Nagarbhavi,5 Bedroom,4,3,240
Plot  Area,18-??.?.,Hormavu,3 Bedroom,3,1,204
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,2,1,55
Built-up  Area,18-??.?.,3rd Block Banashankari,3 BHK,3,1,133
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,2,54
Carpet  Area,Ready To Move,Basavangudi,2 BHK,2,0,80
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1,1,23
Built-up  Area,Ready To Move,Coconut Grove Layout,2 BHK,2,2,48
Plot  Area,Ready To Move,2nd Block Hrbr Layout,4 Bedroom,6,1,74
Built-up  Area,20-?.?.,Whitefield,3 BHK,3,2,113
Super built-up  Area,Ready To Move,Basapura,2 BHK,2,1,60
Plot  Area,Ready To Move,Anjappa Layout,2 Bedroom,2,0,100
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,2,66.25
Super built-up  Area,18-?.?.,Horamavu Agara,3 BHK,2,1,37.62
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,2,57
Built-up  Area,Ready To Move,Frazer Town,2 BHK,2,1,78
Built-up  Area,18-??.?.,"Off Sarjapur Road, ",2 BHK,2,1,65
Super built-up  Area,18-?.?.,Hosa Road,2 BHK,2,1,55.15
Plot  Area,Ready To Move,Himagiri Meadows,4 Bedroom,4,0,175
Plot  Area,Ready To Move,4th Block HBR Layout,5 Bedroom,5,2,138
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,1,60
Super built-up  Area,17-??.?.,Electronic City,3 BHK,3,2,92.59
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,3,1,150
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,2,1,85
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3,3,300
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,1,42
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,62
Super built-up  Area,18-??.?.,9th Phase JP Nagar,3 BHK,2,2,39.89
Super built-up  Area,Ready To Move,Jigani,3 BHK,3,3,70
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,2,2,35
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,2,2,63
Super built-up  Area,Ready To Move,Thigalarapalya,4 BHK,5,,300
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,2,1,85
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,2,68
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2,1,27
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,2,2,110
Built-up  Area,Ready To Move,Electronic City,2 BHK,2,1,62
Super built-up  Area,Ready To Move,Motappa Layout,3 BHK,2,1,56.5
Super built-up  Area,Ready To Move,Kadugodi,4 BHK,4,0,134
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,2,28
Built-up  Area,Ready To Move,Whitefield,3 BHK,3,3,98
Super built-up  Area,Ready To Move,Medahalli,2 BHK,2,2,38.5
Plot  Area,Ready To Move,Ambedkar Nagar,4 Bedroom,4,2,536
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,2,2,59
Plot  Area,Ready To Move,Judicial Layout,4 Bedroom,3,2,162
Super built-up  Area,Ready To Move,Basava Nagar,3 BHK,2,1,60.1
Super built-up  Area,Ready To Move,Avalahalli,2 BHK,2,1,46.29
Built-up  Area,Ready To Move,6th Phase JP Nagar,1 BHK,1,1,105
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,3,3,125
Built-up  Area,18-?.?.,Electronic City Phase II,3 BHK,4,3,116
Super built-up  Area,18-?.?.,Hennur Road,3 BHK,3,2,105
Super built-up  Area,18-?.?.,Chennammana Kere,2 BHK,2,2,52.79
Super built-up  Area,Ready To Move,Kothanur,2 BHK,2,2,53
Plot  Area,Ready To Move,TC Palaya,2 Bedroom,2,0,55
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,2,1,62
Plot  Area,Ready To Move,Prashanth Nagar,6 Bedroom,5,0,260
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,3,2,107
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,2,2,65
Built-up  Area,Ready To Move,Kasavanhalli,2 BHK,2,1,45
Super built-up  Area,Ready To Move,Tumkur Road,2 BHK,2,1,39
Super built-up  Area,18-?.?.,Hennur Road,2 BHK,2,1,36
Plot  Area,Ready To Move,Mahalakshmi Layout,8 Bedroom,6,2,852
Plot  Area,Ready To Move,Michael Palaya,3 Bedroom,3,0,200
Super built-up  Area,20-?.?.,Kanakpura Road,3 BHK,3,1,69
Super built-up  Area,19-??.?.,Yelahanka,2 BHK,2,1,93.65
Super built-up  Area,Ready To Move,Kaggalipura,3 BHK,2,1,65
Built-up  Area,Ready To Move,Chikkalasandra,3 BHK,2,2,54.2
Super built-up  Area,Ready To Move,Kaval Byrasandra,3 BHK,2,2,65
Super built-up  Area,Ready To Move,Ambedkar Nagar,3 BHK,4,2,125
Super built-up  Area,Ready To Move,Doddanakundi Industrial Area 2,3 BHK,3,3,90
Super built-up  Area,Ready To Move,Narayanapura,2 BHK,2,2,99.14
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,1,30
Super built-up  Area,Ready To Move,RBI Layout,3 BHK,2,2,87
Super built-up  Area,19-?.?.,Chandra Layout,3 BHK,2,2,85.05
Super built-up  Area,Ready To Move,Chandapura,3 BHK,2,2,39.5
Super built-up  Area,Ready To Move,Panathur,2 BHK,2,1,57
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,2,2,75
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,1,2,51
Built-up  Area,Ready To Move,Kundalahalli,2 BHK,2,1,70
Super built-up  Area,20-??.?.,Budigere,2 BHK,2,0,56.725
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,3,1,265
Super built-up  Area,18-??.?.,Electronic City,2 BHK,2,1,30.27
Super built-up  Area,Ready To Move,Gunjur,3 BHK,3,1,62.63
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,1,1,36.85
Super built-up  Area,Ready To Move,Brookefield,3 BHK,3,3,115
Built-up  Area,18-?.?.,Electronic City,2 BHK,2,1,29.6
Super built-up  Area,Ready To Move,Harlur,2 BHK,2,1,65
Super built-up  Area,Ready To Move,Guni Agrahara,3 BHK,2,2,120
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,2,2,65
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,1,39
Built-up  Area,19-?.?.,Whitefield,4 Bedroom,4,0,218
Super built-up  Area,19-?.?.,Marathahalli,2 BHK,2,2,85
Super built-up  Area,Ready To Move,BEL Road,3 BHK,3,2,150
Plot  Area,Ready To Move,Madavara,2 Bedroom,2,1,35
Plot  Area,Ready To Move,Cooke Town,3 Bedroom,3,1,375
Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,4,3,240
Super built-up  Area,Ready To Move,Kasturi Nagar,4 BHK,4,2,155
Super built-up  Area,Ready To Move,Babusapalaya,2 BHK,2,1,34
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,2,69
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,2,1,42.6
